site_id,waterbody_name,municipality,description,latitude,longitude,pwl_id,fips_code,dec_region,nhd_reach_code,watershed_id,old_ribs_id,sampleinfo_present,chem_lab_present,chem_insitu_present,macroinfometrics_present,macroraw_present,habitat_present,userperc_present,"Hardness  (mg/L, as CaCO3) [n, ave, min, max]",Select Summary Statistics:, ,"pH (n, ave, min, max)", ,-- Data Availability --,x,y
04-LANDR-0.0,Andover Pond,Andover,Access type is Public. Public park no boat launch.,42.1656,-77.793602,0403-0056,3,9,4130002003635,Ont 117-184-12-P164,,F,F,F,F,T,F,F,[object Promise],,,[object Promise],,,-8659944.161614584,5185817.8894389225
04-ANGL-1.1,Angelica Creek,Angelica,camp rd. (co rte 43) bridge.,42.29539,-78.05774,0403-0026,3,9,,ONT-117-155,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8689347.869273739,5205330.650456435
04-ANGL-3.0,Angelica Creek,Angelica,cr 16 (w main st).,42.3124,-78.03759,0403-0026,3,9,,ONT-117-155,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8687104.781534255,5207890.929102632
04-ANGL-12.3,Angelica Creek,West Almond,at south and turnpike rd. junction.,42.30072,-77.8855,0403-0026,3,9,,ONT-117-155,,T,F,T,F,F,T,T,[object Promise],,,[object Promise],,,-8670174.200179506,5206132.826789918
04-ANGL-12.5,Angelica Creek,West Almond,downstream of karr valley rd. salt storage at bridge.,42.300518,-77.882641,0403-0026,3,9,4130002000241,Ont 117-155,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8669855.937755328,5206102.424122491
04-ANGL-12.9,Angelica Creek,West Almond,off south rd. just above conf. with tributary.,42.29833,-77.87631,0403-0026,3,9,,ONT-117-155,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8669151.174059117,5205773.118311092
13-AFLY-0.9,Angle Fly Brook,Somers,20 m above rt. 35 bridge.,41.2825,-73.72527,1302-0086,119,3,,H- 31-P44-15 thru 16a,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8207059.514996604,5054100.072448299
13-ANNS-1.1,Annsville Creek,Cortlandt,20 m below rte 9 bridge.,41.31805,-73.93056,1301-0133,119,3,,H- 46 thru 59. EOH (selected),,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8229912.293261554,5059367.760029281
11-ANTH-0.5,Anthony Kill,Mechanicville,70 m below sr 4 bridge.,42.90639,-73.68722,1101-0025,91,5,,H-26,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8202823.808371921,5297734.287133556
11-ANTH-0.8,Anthony Kill,Mechanicville,off saratoga ave.,42.909168,-73.689163,1101-0025,91,5,,H-260,11011101,F,T,F,F,F,F,F,[object Promise],,,[object Promise],,,-8203040.1021425305,5298156.493900699
11-ANTH-1.0,Anthony Kill,Mechanicville,5 m above viall st bridge.,42.90972,-73.69167,1101-0025,91,5,,H-26,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8203319.180105953,5298240.390384093
06-APAL-0.1,Apalachin Creek,Owego,100 m below rt. 17 bridge. 100 m above confluence.,42.06333,-76.14332,0603-0014,107,7,,SR-24,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8476235.609709278,5170470.696631036
06-APAL-0.2,Apalachin Creek,Owego,50 m above rt. 434 bridge.,42.0625,-76.14638,0603-0014,107,7,,SR-24,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8476576.247351108,5170346.2435332695
11-ARCH-1.9,Archer Creek,Newcomb,off caitlin lake rd.,43.99733,-74.24594,1104-0055,31,5,,H-503-P680-5-P682-6-P684-1,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8265020.234267938,5465029.003970158
10-ARNO-0.1,Arnold Brook,Peru,30 m above state highway 22.,44.59646,-73.51199,1004-0018,19,5,,C-23,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8183317.294000216,5558214.527602182
12-ASHC-2.8,Ash Creek,Ohio,at sr 8 bridge.,43.31827,-74.97597,1203-0042,43,6,,H-240-180-P799-19-4,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8346286.802131751,5360541.941557127
06-ABEL-0.2,Ashbell Brook,Otselic,cr 13.,42.649115,-75.786442,0602-0168,17,7,2050102000489,SR- 44-14-27-47,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8436508.132473959,5258715.164829287
13-ASHK-0.8,Ashokan Brook,Olive,rte. 28.,41.97417,-74.19861,1307-0005,111,3,,H-171/P848- 1 thru 12 (selected),,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8259751.482768694,5157111.02026764
08-AWAT-1.0,Atwater Creek,Martinsburg,15 m above west rd.,43.72081,-75.47881,0801-0222,49,6,,ONT-19-58-6,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8402262.69488224,5422338.053357589
08-AWAT-2.6,Atwater Creek,Martinsburg,at graves rd. bridge.,43.71033,-75.51623,0801-0330,49,6,,Ont  19- 58- 6,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8406428.270227723,5420723.967080452
10-LAUGR-0.0,Augur Lake,Chesterfield,lake sampled for 2008 lake biomonitoring pilot project.,44.47028,-73.49528,1004-0020,31,5,,C- 25,,F,F,F,F,T,F,T,[object Promise],,,[object Promise],,,-8181457.145309061,5538509.881172944
12-AURI-0.3,Auriesville Creek,Glen,at rte 5s bridge.,42.93028,-74.31722,1201-0116,57,4,,H-240-84,,T,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8272955.087571683,5301365.765768876
10-LRNC_03-0.2,Ausable River,Peru,just upstream from ausable point campground boat launch on far shore.,44.56694,-73.42555,1004-0015,19,5,,C- 25,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8173694.837216047,5553600.768092325
10-SABL-2.2,Ausable River,Peru,100 m above rt. 9 bridge.,44.55889,-73.44917,1004-0015,19,5,,C- 25,10041102,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8176324.2035885835,5552343.018487041
10-SABL-7.6,Ausable River,Chesterfield,downstream of main st. bridge in keeseville.,44.504102,-73.481615,1004-0020,31,5,4150404000003,C- 25,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8179935.964467371,5543787.439863102
10-SABL-13.1,Ausable River,Ausable,otter slide.,44.48221,-73.55639,1004-0020,19,5,,C- 25,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8188259.879391436,5540371.079837866
10-SABL-14.6,Ausable River,Clintonville,bridge on lower rd.,44.464375,-73.575255,1004-0020,19,5,4150404000004,C- 25,,F,T,F,F,F,F,F,[object Promise],,,[object Promise],,,-8190359.921585252,5537588.783191962
10-SABL-14.7,Ausable River,Ausable,10 m above bridge off lower rd.,44.465,-73.575,1004-0020,19,5,,C- 25,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8190331.535115101,5537686.270101717
10-SABL-19.3,Ausable River,Black Brook,rt 9n.,44.44932,-73.65453,1004-0020,19,5,,C-25,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8199184.774217889,5535240.833798822
12-AVAB-0.1,Ava Brook,Lee,river rd. bridge.,43.37361,-75.47667,1201-0217,65,6,,H-24-290,,T,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8402024.471171943,5369013.1043318715
17-AWIX-0.7,Awixa Creek,Islip,10 m below union blvd bridge.,40.7275,-73.23054,1701-0093,103,1,,(MW7.8)  AO-GSB-197,,F,F,F,T,T,F,F,[object Promise],,,[object Promise],,,-8151986.423316447,4972230.684332371
12-AYER-0.8,Ayers Creek,Stratford,piesco rd. culvert.,43.19083,-74.68056,1201-0174,35,5,,H-240-144-21-2-1,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8313401.91135651,5341063.372930332
11-LBABC-0.0,Babcock Lake,Petersburg,,42.81681,-73.3996,1102-0014,83,4,,H-264-4-P1095-3-6-P1109,,F,F,F,F,T,F,F,[object Promise],,,[object Promise],,,-8170806.096429958,5284129.898416456
14-BAGL-0.7,Bagley Brook,Hamden,bagley brook rd. bridge.,42.20167,-74.96917,1404-0065,25,4,,D-71-54,,T,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8345529.829594358,5191236.666200359
13-BAIL-1.0,Bailey Brook,Yorktown,blinn rd.,41.22046,-73.83681,1302-0148,119,3,,H- 31-P44-44 thru 55,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8219476.090999685,5044914.04844374
08-BAKB-1.0,Baker Brook,Remsen,immediately below bardwell mill rd. (cr 72) bridge.,43.38794,-75.16658,0801-0442,65,6,,ONT-19-111,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8367505.410271856,5371207.926781284
04-BAKE-0.3,Baker Creek,Angelica,rte. 16; 50 m above bridge.,42.30901,-78.04313,0403-0066,3,9,,ONT-117-155-2,,T,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8687721.491513249,5207380.624369872
03-BEAG-1.8,Bald Eagle Creek,Kendall,cr 75.,43.354688,-78.01837,0301-0034,73,8,,Ont 134,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8684965.220921205,5366115.752841874
16-BALD-0.6,Baldwin Brook,Austerlitz,rhoen rd. bridge.,42.332541,-73.429031,1601-0033,21,4,,Mass 5a thru 7a,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8174082.340363495,5210923.368489385
05-BWIN-1.1,Baldwin Creek,Ashland,30 m above co rt 60 bridge.,42.03,-76.71889,0501-0022,15,8,,PA-3-14,,T,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8540307.769025166,5165474.358410816
05-BWIN-4.1,Baldwin Creek,Elmira,above lowman rd. (co rt 2) bridge.,42.06528,-76.73389,0501-0023,15,8,,PA-3-14,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8541977.561387064,5170763.092840331
12-BALU-0.1,Ballou Creek,Utica,downstream of cso outlet.,43.10139,-75.20084,1201-0093,65,6,,H-240-211,12051601,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8371319.216026435,5327417.194077331
11-WBALT-2.0,Ballston Creek,Malta,eastline rd. to shenantaha creek park.,42.9666,-73.8239,1101-0061,91,5,,H-260-P1089-3,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8218038.956373546,5306889.40737007
11-LBALL-0.0,Ballston Lake,Ballston,,42.935335,-73.85935,1101-0036,91,5,,H-260-P1089-3-P1090,,F,F,F,F,T,F,F,[object Promise],,,[object Promise],,,-8221985.232322164,5302134.348329431
11-LBALL-1.0,Ballston Lake,Ballston,,42.936777,-73.86154,1101-0036,91,5,2020003916194,H-260-P1089-3-P1090,,F,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8222229.022007,5302353.607382882
11-LBALL-2.0,Ballston Lake,Ballston,,42.924036,-73.86505,1101-0036,91,5,2020003916199,H-260-P1089-3-P1090,,F,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8222619.753419685,5300416.489933421
11-LBALL-3.0,Ballston Lake,Ballston,,42.912187,-73.86957,1101-0036,91,5,2020003916200,H-260-P1089-3-P1090,,F,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8223122.917518072,5298615.349973865
11-LBALL-4.0,Ballston Lake,Ballston,,42.925031,-73.86363,1101-0036,91,5,2020003916199,H-260-P1089-3-P1090,,F,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8222461.67974276,5300567.753420757
11-LBALL-5.0,Ballston Lake,Ballston,,42.936226,-73.85642,1101-0036,91,5,2020003916194,H-260-P1089-3-P1090,,F,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8221659.066214142,5302269.826098225
11-LBALL-6.0,Ballston Lake,Ballston,,42.947404,-73.85367,1101-0036,91,5,2020003916189,H-260-P1089-3-P1090,,F,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8221352.9376144605,5303969.622874868
11-LBALL-7.0,Ballston Lake,Ballston,,42.9559,-73.8519,1101-0036,91,5,2020003916189,H-260-P1089-3-P1090,,F,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8221155.902115754,5305261.784385939
11-LBALL-8.0,Ballston Lake,Ballston,,42.943331,-73.85785,1101-0036,91,5,2020003916190,H-260-P1089-3-P1090,,F,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8221818.253085978,5303350.221214372
06-BALL-0.4,Ballyhack Creek,Fenton,ballyhack rd. above osborne ck.,42.1725,-75.82082,0602-0030,7,7,,SR-44-10-1,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8440335.07392845,5186854.233660413
08-BALS-2.5,Balsam Creek,Croghan,erie canal rd.,43.9525,-75.33971,0801-0239,49,6,,ONT-19-40-10,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8386778.153712898,5458094.3889648495
12-BARK-0.6,Barker Creek,Augusta,barker rd.,42.935398,-75.48748,1204-0013,65,6,,H-240-223-45,,T,T,T,F,F,T,T,[object Promise],,,[object Promise],,,-8403227.834867416,5302143.927501211
14-BARN-0.7,Barnum Brook,Thompson,tucci rd. culvert.,41.62667,-74.63249,1402-0046,105,3,,D- 1-34.35.36,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8308050.783434077,5105219.435970279
13-LBRTP-0.0,Barrett Pond,Kent,"Access type is Private. need lake resident access, but very likely (contacts available).",41.434399,-73.740601,1302-0115,79,3,2030101005201,H- 31-P44-23..P67..P71,,F,F,F,F,T,F,F,[object Promise],,,[object Promise],,,-8208766.154109956,5076628.1127858935
10-ADKS12_240-0.1,Bartlett Brook,Moriah,just north off pelfishire rd. from bartlett brook rd. crossing.,44.080556,-73.491389,1001-0025,31,5,,C- 86-3,,T,F,F,T,T,T,T,[object Promise],,,[object Promise],,,-8181024.001170383,5477916.884496998
13-BASH-5.2,Bash Bish Brook,Copake,50 m below valley view rd. bridge.,42.11955,-73.51849,1308-0021,21,4,,H-188-59,,T,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8184040.870690374,5178904.310545376
14-BSHR-0.4,Basher Kill,Deerpark,30 m below galley hill rd. bridge.,41.45361,-74.58944,1402-0032,71,3,,D- 1-12,14022101,T,T,T,T,T,F,F,[object Promise],,,[object Promise],,,-8303258.479355427,5079481.034824463
14-BSHR-3.7,Basher Kill,Deerpark,port orange rd.,41.4859,-74.57382,1402-0040,71,3,,D- 1-13,14022104,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8301519.668909236,5084278.152921582
13-BASC-0.4,Basic Creek,Greenville,50 m above co. rt. 67 bridge.,42.35972,-74.05083,1309-0027,39,4,,H-193-29,13092100,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8243300.688419262,5215016.992590148
13-BASC-4.7,Basic Creek,Greenville,20 m above rt. 81 bridge.,42.41278,-74.03584,1309-0027,39,4,,H-193-29,,T,F,T,T,T,F,T,[object Promise],,,[object Promise],,,-8241632.00925227,5223013.845657573
13-BASC-7.3,Basic Creek,Westerlo,at rt. 405 bridge.,42.44667,-74.02778,1309-0027,1,4,,H-193-29,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8240734.774156475,5228125.063675299
13-BASC-12.4,Basic Creek,Westerlo,100 m below lobdell mill rd. bridge.,42.50028,-74.03167,1309-0028,1,4,,H-193-29,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8241167.806975663,5236216.060450625
13-BASC-14.3,Basic Creek,Westerlo,10 m below cr 1 bridge.,42.51417,-74.04722,1309-0028,1,4,,H-193-29,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8242898.825057501,5238313.515992364
13-BASC-16.5,Basic Creek,Westerlo,10 m below culvert at richardson farm.,42.54306,-74.04722,1309-0028,1,4,,H-193-29,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8242898.825057501,5242677.535979337
14-BASK-0.3,Basket Creek,Fremont,rte 134; where stream comes close to rd.,41.84767,-75.11049,1401-0135,105,3,,D-59,,T,F,T,F,F,F,F,[object Promise],,,[object Promise],,,-8361261.500033264,5138188.39049687
14-BASS-0.2,Basset Brook,Harpersfield,bridge on rt 10 basset brook.,42.390211,-74.647502,1404-0076,25,4,2040101002385,D-71-62 thru 96,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8309721.911629867,5219611.56880405
12-BATV-0.1,Batavia Kill,Prattsville,rte 23a bridge; 60 m above mouth.,42.30264,-74.41977,1202-0001,39,4,,H-240-82-117,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8284370.901352533,5206421.807508235
12-BATV-0.2,Batavia Kill,Prattsville,rte 23a bridge.,42.30389,-74.4175,1202-0001,39,4,,H-240- 82-117,12022301,F,T,F,F,F,F,F,[object Promise],,,[object Promise],,,-8284118.206108431,5206609.95073297
12-BATV-10.1,Batavia Kill,Windham,10 m below co. rt. 12 bridge. south st.,42.30278,-74.2725,1202-0001,39,4,,H-240-82-117,,T,T,T,T,T,T,T,[object Promise],,,[object Promise],,,-8267976.87994341,5206442.879363651
12-BATV-10.6,Batavia Kill,Windham,sr 23; behind elks lodge.,42.30674,-74.26626,1202-0058,39,4,,H-240-82-117,,F,F,F,F,F,F,F,[object Promise],,,[object Promise],,,-8267282.24632086,5207038.931253477
12-BATV-11.6,Batavia Kill,Windham,at rt. 79 bridge.,42.30583,-74.25195,1202-0058,39,4,,H-240-82-117,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8265689.264407605,5206901.956415426
12-BATV-12.5,Batavia Kill,Windham,lake heloise trib. immediately below rt. 23 bridge.,42.30889,-74.23416,1202-0058,39,4,,H-240-82-117-14,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8263708.8906663945,5207362.560989174
12-BATV-12.6,Batavia Kill,Windham,30 m above rt. 296 bridge.,42.30806,-74.23139,1202-0058,39,4,,H-240-82-117,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8263400.535676897,5207237.62354875
12-BATV-14.0,Batavia Kill,Windham,silver lake tributary 1 m below rt. 65 bridge.,42.29528,-74.21333,1202-0058,39,4,,H-240-82-117-17,,T,F,T,T,T,T,T,[object Promise],,,[object Promise],,,-8261390.105673172,5205314.09593759
12-BATV-14.3,Batavia Kill,Windham,30 m below rt. 40 bridge.,42.28861,-74.21528,1202-0058,39,4,,H-240-82-117,,T,F,T,T,T,F,F,[object Promise],,,[object Promise],,,-8261607.178680215,5204310.34414054
